Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter),lat,lon,cast_time_utc,cast_time_local,device,file_name,source_file
0.15,0.152796073415289,23.69448943567592,12932.614718810828,13279.341121231446,7.640888971573627,1501.585455551565,1003.1302928856315,19.6641352,85.2147907,2025-12-09 09:14:52,2025-12-09 14:44:52,CC1448006,CC1448006_20251209_091452,CC1448006_20251209_091452.csv
0.4499999999999999,0.4583879938990125,23.52982198816765,13019.61284523101,13414.033177790554,7.724657138424455,1501.2336370358628,1003.2364636031924,19.6641352,85.2147907,2025-12-09 09:14:52,2025-12-09 14:44:52,CC1448006,CC1448006_20251209_091452,CC1448006_20251209_091452.csv
0.7499999999999998,0.763956714042955,23.57034931264701,13073.004391425582,13457.803553434154,7.751889653379848,1501.3787844031954,1003.2479748285456,19.6641352,85.2147907,2025-12-09 09:14:52,2025-12-09 14:44:52,CC1448006,CC1448006_20251209_091452,CC1448006_20251209_091452.csv
1.05,1.069512982263516,23.341562467076884,13035.070351005592,13482.260073702782,7.767040171396064,1500.7751287825065,1003.318615781582,19.6641352,85.2147907,2025-12-09 09:14:52,2025-12-09 14:44:52,CC1448006,CC1448006_20251209_091452,CC1448006_20251209_091452.csv
1.35,1.3750582995312943,23.311112631370754,13011.717498138318,13466.58852324711,7.757245768133435,1500.6859285913224,1003.3202713054292,19.6641352,85.2147907,2025-12-09 09:14:52,2025-12-09 14:44:52,CC1448006,CC1448006_20251209_091452,CC1448006_20251209_091452.csv
1.65,1.68058229667531,22.959538596658856,13018.668907882393,13572.554374813511,7.823027573112896,1499.7935585562163,1003.45903506341,19.6641352,85.2147907,2025-12-09 09:14:52,2025-12-09 14:44:52,CC1448006,CC1448006_20251209_091452,CC1448006_20251209_091452.csv
1.95,1.9860759181088847,22.8573483137446,13061.41529608622,13646.19620215668,7.868816855590941,1499.5652099516235,1003.5201827837598,19.6641352,85.2147907,2025-12-09 09:14:52,2025-12-09 14:44:52,CC1448006,CC1448006_20251209_091452,CC1448006_20251209_091452.csv
2.1004388563807748,2.139265481514112,22.81136703491211,13010.861328125,13606.451911973572,7.843990576913134,1499.4127087993677,1003.5135603622474,19.6641352,85.2147907,2025-12-09 09:14:52,2025-12-09 14:44:52,CC1448006,CC1448006_20251209_091452,CC1448006_20251209_091452.csv
0.15,0.1527896938536789,23.316090962473847,12712.568127239843,13155.625666316262,7.5639319604070065,1500.468486876738,1003.1683345505156,19.6897884,85.2096972,2025-12-09 10:45:36,2025-12-09 16:15:36,CC1448006,CC1448006_20251209_104536,CC1448006_20251209_104536.csv
0.4499999999999999,0.4583855062603552,23.30218653400889,12721.430447339622,13168.586517695883,7.571956219779574,1500.4440801336916,1003.1792086954182,19.6897884,85.2096972,2025-12-09 10:45:36,2025-12-09 16:15:36,CC1448006,CC1448006_20251209_104536,CC1448006_20251209_104536.csv
0.7499999999999998,0.7639749127500731,23.34347120142732,12734.195784203328,13170.543475400416,7.573161600835563,1500.5636925101564,1003.1710735984008,19.6897884,85.2096972,2025-12-09 10:45:36,2025-12-09 16:15:36,CC1448006,CC1448006_20251209_104536,CC1448006_20251209_104536.csv
1.05,1.0695691348964045,23.41166477731785,12737.128460692167,13155.0200961689,7.56351134354307,1500.7450156036168,1003.1479746595668,19.6897884,85.2096972,2025-12-09 10:45:36,2025-12-09 16:15:36,CC1448006,CC1448006_20251209_104536,CC1448006_20251209_104536.csv
1.35,1.3751637810247055,23.346941962821187,12726.44519560364,13161.582386524342,7.567547656349785,1500.5770839488673,1003.1686723693668,19.6897884,85.2096972,2025-12-09 10:45:36,2025-12-09 16:15:36,CC1448006,CC1448006_20251209_104536,CC1448006_20251209_104536.csv
1.775741304219311,1.8088413492427289,23.30940574820376,12682.941316420342,13126.782579903624,7.545884525015482,1500.4575237739473,1003.1637459295324,19.6897884,85.2096972,2025-12-09 10:45:36,2025-12-09 16:15:36,CC1448006,CC1448006_20251209_104536,CC1448006_20251209_104536.csv
0.15,0.1527625724116027,23.32067700053709,13085.141587776245,13539.898859064826,7.803008074680398,1500.7421207999157,1003.3468742624692,19.7159194,85.1958496,2025-12-09 11:24:37,2025-12-09 16:54:37,CC1448006,CC1448006_20251209_112437,CC1448006_20251209_112437.csv
0.4499999999999999,0.4583034591161557,23.316379230591902,13086.24931916302,13542.249572043012,7.804446592019274,1500.7369048210803,1003.350383849815,19.7159194,85.1958496,2025-12-09 11:24:37,2025-12-09 16:54:37,CC1448006,CC1448006_20251209_112437,CC1448006_20251209_112437.csv
0.7941538403605861,0.808806943452635,23.33267346472444,13095.504171821198,13547.258234513904,7.807545398585513,1500.7907084382289,1003.3501510940928,19.7159194,85.1958496,2025-12-09 11:24:37,2025-12-09 16:54:37,CC1448006,CC1448006_20251209_112437,CC1448006_20251209_112437.csv
0.15,0.1527715294770889,21.762621579294727,11787.50668777757,12603.556312374038,7.220151458201536,1495.7313729484583,1003.288439165374,19.7270887,85.2438248,2025-12-10 04:02:12,2025-12-10 09:32:12,CC1448006,CC1448006_20251210_040212,CC1448006_20251210_040212.csv
0.4499999999999999,0.4583296816975417,21.753593529548542,11781.287177373224,12599.33866893823,7.21750424991508,1495.7075290095445,1003.28992829792,19.7270887,85.2438248,2025-12-10 04:02:12,2025-12-10 09:32:12,CC1448006,CC1448006_20251210_040212,CC1448006_20251210_040212.csv
0.7499999999999998,0.7638813552868605,21.730394635118387,11777.428254552382,12601.464578368355,7.218754346260007,1495.647312686684,1003.2977001146966,19.7270887,85.2438248,2025-12-10 04:02:12,2025-12-10 09:32:12,CC1448006,CC1448006_20251210_040212,CC1448006_20251210_040212.csv
1.05,1.0694299915306116,21.680775757519456,11764.110387701912,12600.594352598047,7.218103421198904,1495.5090291422673,1003.3102574703768,19.7270887,85.2438248,2025-12-10 04:02:12,2025-12-10 09:32:12,CC1448006,CC1448006_20251210_040212,CC1448006_20251210_040212.csv
1.35,1.3749785632759166,21.67650974270852,11734.8360538192,12570.387244573632,7.199397133371241,1495.4810536655136,1003.2985061179262,19.7270887,85.2438248,2025-12-10 04:02:12,2025-12-10 09:32:12,CC1448006,CC1448006_20251210_040212,CC1448006_20251210_040212.csv
1.5615751976729229,1.5904679908935593,21.68006669832023,11739.257486245604,12574.165287844417,7.201722460057958,1495.4973634885212,1003.3003770919224,19.7270887,85.2438248,2025-12-10 04:02:12,2025-12-10 09:32:12,CC1448006,CC1448006_20251210_040212,CC1448006_20251210_040212.csv
0.15,0.1527465868484699,22.592154789751195,12728.158127035316,13372.117929167896,7.698021225934969,1498.608455237758,1003.448891276822,19.72969,85.2763283,2025-12-10 04:48:39,2025-12-10 10:18:39,CC1448006,CC1448006_20251210_044839,CC1448006_20251210_044839.csv
0.4499999999999999,0.4582574257143039,22.582138831958456,12725.798840649077,13372.45356455248,7.698194617796389,1498.585592933179,1003.4528232003804,19.72969,85.2763283,2025-12-10 04:48:39,2025-12-10 10:18:39,CC1448006,CC1448006_20251210_044839,CC1448006_20251210_044839.csv
0.7499999999999998,0.7637604866075192,22.56281172458444,12723.427489529227,13375.394586851871,7.699978423093945,1498.5384054493709,1003.4602448284644,19.72969,85.2763283,2025-12-10 04:48:39,2025-12-10 10:18:39,CC1448006,CC1448006_20251210_044839,CC1448006_20251210_044839.csv
1.05,1.0692609535617923,22.53693247319288,12721.304576429671,13380.443283339218,7.703065609949792,1498.474250633422,1003.4702459420056,19.72969,85.2763283,2025-12-10 04:48:39,2025-12-10 10:18:39,CC1448006,CC1448006_20251210_044839,CC1448006_20251210_044839.csv
1.35,1.3747568776562706,22.469885457666248,12708.608689289716,13385.969406460104,7.706400055811136,1498.2947400653638,1003.4904713504394,19.72969,85.2763283,2025-12-10 04:48:39,2025-12-10 10:18:39,CC1448006,CC1448006_20251210_044839,CC1448006_20251210_044839.csv
1.5975655353682503,1.6268541103746357,22.442334286247547,12703.908448281722,13388.789400234356,7.708100314238555,1498.2233042006485,1003.499577965536,19.72969,85.2763283,2025-12-10 04:48:39,2025-12-10 10:18:39,CC1448006,CC1448006_20251210_044839,CC1448006_20251210_044839.csv
0.15,0.1527785449068057,22.470913240783187,12207.2578958608,12857.618552589072,7.378425220691153,1497.9172520050631,1003.2378808857918,19.7259148,85.3147684,2025-12-10 05:49:17,2025-12-10 11:19:17,CC1448006,CC1448006_20251210_054917,CC1448006_20251210_054917.csv
0.4499999999999999,0.4583547828630016,22.467941924412667,12206.81888553335,12857.96096339223,7.378610575888858,1497.9140910615563,1003.2400931162654,19.7259148,85.3147684,2025-12-10 05:49:17,2025-12-10 11:19:17,CC1448006,CC1448006_20251210_054917,CC1448006_20251210_054917.csv
0.7499999999999998,0.7639241999095171,22.473306322378303,12208.498461390847,12858.27700569901,7.378788650847097,1497.9343588047925,1003.2402720290283,19.7259148,85.3147684,2025-12-10 05:49:17,2025-12-10 11:19:17,CC1448006,CC1448006_20251210_054917,CC1448006_20251210_054917.csv
1.05,1.0694935013379308,22.469433961502613,12204.84075683398,12855.473236453614,7.377023303674477,1497.9265206185755,1003.2412347189176,19.7259148,85.3147684,2025-12-10 05:49:17,2025-12-10 11:19:17,CC1448006,CC1448006_20251210_054917,CC1448006_20251210_054917.csv
1.3454517700054025,1.3704297201851134,22.462746293477448,12201.633770854674,12853.906193510216,7.376021657568514,1497.9115279448786,1003.2434365862632,19.7259148,85.3147684,2025-12-10 05:49:17,2025-12-10 11:19:17,CC1448006,CC1448006_20251210_054917,CC1448006_20251210_054917.csv
0.15,0.1527782779895875,22.426072686376305,12175.190373234283,12835.9673103733,7.364959138684769,1497.7762956801637,1003.2386392834007,19.7229079,85.217405,2025-12-10 07:18:02,2025-12-10 12:48:02,CC1448006,CC1448006_20251210_071802,CC1448006_20251210_071802.csv
0.4499999999999999,0.4583547783390961,22.418217578342,12174.753056804791,12837.632537210278,7.365958457896209,1497.7602680344253,1003.2426490252636,19.7229079,85.217405,2025-12-10 07:18:02,2025-12-10 12:48:02,CC1448006,CC1448006_20251210_071802,CC1448006_20251210_071802.csv
0.7499999999999998,0.7639224610755438,22.395022331618385,12173.287147574832,12842.368827679327,7.368842953602653,1497.7030965093086,1003.2517996523528,19.7229079,85.217405,2025-12-10 07:18:02,2025-12-10 12:48:02,CC1448006,CC1448006_20251210_071802,CC1448006_20251210_071802.csv
1.05,1.0694865799160742,22.363184771594103,12176.502671935608,12854.3960152342,7.37623450786996,1497.6264734188942,1003.2664338553544,19.7229079,85.217405,2025-12-10 07:18:02,2025-12-10 12:48:02,CC1448006,CC1448006_20251210_071802,CC1448006_20251210_071802.csv
1.35,1.3750447864214852,22.334716965843107,12202.392719602967,12889.474683463575,7.397916329799974,1497.5750084846488,1003.2910068743154,19.7229079,85.217405,2025-12-10 07:18:02,2025-12-10 12:48:02,CC1448006,CC1448006_20251210_071802,CC1448006_20251210_071802.csv
1.6162184119224552,1.64618981391041,22.30403966047765,12213.635233185025,12909.7169299364,7.410404455875606,1497.5065691572886,1003.3090315098018,19.7229079,85.217405,2025-12-10 07:18:02,2025-12-10 12:48:02,CC1448006,CC1448006_20251210_071802,CC1448006_20251210_071802.csv
0.15,0.152759380454582,22.961285610835336,12844.821777044715,13390.823049729544,7.709989746831699,1499.6496885201618,1003.3668448906787,19.7164158,85.1963776,2025-12-10 08:11:04,2025-12-10 13:41:04,CC1448006,CC1448006_20251210_081104,CC1448006_20251210_081104.csv
0.4499999999999999,0.4582950847247736,22.961317608310758,12845.009560501752,13391.009881550835,7.710081704133037,1499.6548743650133,1003.3682534365464,19.7164158,85.1963776,2025-12-10 08:11:04,2025-12-10 13:41:04,CC1448006,CC1448006_20251210_081104,CC1448006_20251210_081104.csv
0.7499999999999998,0.7638242846743144,22.96781113136616,12855.520774265971,13400.153635382108,7.715752120516328,1499.6840694105208,1003.372252353402,19.7164158,85.1963776,2025-12-10 08:11:04,2025-12-10 13:41:04,CC1448006,CC1448006_20251210_081104,CC1448006_20251210_081104.csv
